,_algo,_code_bits,_ncodebooks,corr,dataset,err,norm_mean,rel_err
41,PQ,8,8,-0.8778119129663549,Mnist,1645220.756886716,True,-3.822008435978546
42,PQ,8,8,-0.8832087259436397,Mnist,-317661.8626145867,True,-0.5749093870137236
43,PQ,8,8,-0.8676859467698718,Mnist,1604896.4279648834,True,5.22314223501286
44,PQ,8,8,-0.854493337967863,Mnist,-380228.0354848425,True,-2.9130721845779446
45,PQ,8,8,-0.8232834065670565,Mnist,-992090.1470706321,True,0.5467305893888295
46,PQ,8,8,-0.8674777734713889,Mnist,-1243945.1266285332,True,-2.3784518694679493
47,PQ,8,8,-0.8778384398960181,Mnist,1387237.7092168648,True,-1.351495731510926
48,PQ,8,8,-0.9242055496715513,Mnist,518514.96242686466,True,-0.6295377070265546
49,PQ,8,8,-0.8632472282272418,Mnist,-276256.2094570013,True,-3.3975775526020033
50,PQ,8,8,-0.8587798605611806,Mnist,547899.3462967952,True,-0.4156435854250516
51,PQ,8,8,-0.7946112690068612,Mnist,940390.1200036176,True,-1.1217042948440465
52,PQ,8,8,-0.8178685941743432,Mnist,29935.12374555762,True,-3.8565607665940695
53,PQ,8,8,-0.8653988854598991,Mnist,-355795.63341814943,True,-9.7494609936664
54,PQ,8,8,-0.7589185980847378,Mnist,822659.3075311513,True,-0.6184123560550747
55,PQ,8,8,-0.8522924800729103,Mnist,483564.70080873446,True,-4.8612168178882005
56,PQ,8,8,-0.9032865349115274,Mnist,-78894.25750267753,True,-1.9555490775380695
57,PQ,8,8,-0.9120707060534471,Mnist,1738763.1975105726,True,-7.3508787780479
58,PQ,8,8,-0.8991173385186018,Mnist,-2102662.382169936,True,18.053303114912055
59,PQ,8,8,-0.8815785420418233,Mnist,215245.1905824999,True,-1.5444388517462204
60,PQ,8,8,-0.8614620091007661,Mnist,156861.1533647892,True,6.812744393836427
61,PQ,8,8,-0.8254371599801994,Mnist,-1725608.2834347775,True,-1.4803549235773072
62,PQ,8,8,-0.8449064121849045,Mnist,940012.9749789005,True,-4.8639969926941236
63,PQ,8,8,-0.8121504469933022,Mnist,-3391499.514771905,True,-3.495713367610146
64,PQ,8,8,-0.8202854512701648,Mnist,-918527.6626462531,True,-5.959056245329243
65,PQ,8,8,-0.8691959623343595,Mnist,498729.63550807006,True,-0.8366580299809213
66,PQ,8,8,-0.7864723901657833,Mnist,-418819.69144469,True,-1.697156825912445
